Lady Dame Honor Harrington,dama Honor Harrington
la bahía de botes de,la bahía de botes del
gato de seis ramas, ramafelino de seis patas
Elysian Space Navy, Aramda espacial Elysiana
Peep,Repo
Peeps,Repos
de ENS,del ENS
T-años,años-T
de Farnese, del Farnese
habían hecho haciendo todo,habian hecho todo
Manticora,Manticorana
antikinética,anticinetica
Alianza Manticora,Alianza Manticoriana
Hamish Alexander,Alexander Hamish
attennnnnn-hut,attennnnnn-ción
Royal Manticoran Navy,Armada Real Manticoriana
 RMN , ARM 
Armada Espacial Elysian,Armada Espacial Elysiana
pío,Repo
PRH,RPH
sastrería,vestimenta
fiesta secundaria,cubierta secundaria
el Espacio Elíseo. Navy,Armada espacial Elisea
al Steadholder Harrington, a la Gobernadora Harrington
Steadholder Harrington,Gobernadora Harrington
Harrington Steading, Hacienda Harrington
ser un buen número de complicaciones,Habra un buen número de complicaciones
seeeeecret,seeeeecreto
Reino de las Estrellas,Reino Estrelar
"Veo.","Ya veo."
Steadholder Denby,Gobernador Denby
hiperactivo,hiperespacio
un hombre Grayson,un hombre de Grayson
una mujer Grayson,una mujer de Grayson
macho Grayson,macho Graysoniano
Navy,armada
Star Kingdom, el Reino Estelar
gato árbol,ramafelino



